"","date","cars_sampled","ECO2_gmh_sampled","ECO2_micro_sampled","EC_gmh_sampled","cars_nonsampled","ECO2_gmh_nonsampled","ECO2_micro_nonsampled","EC_gmh_nonsampled","cars_motorway","ECO2_gmh_motorway","ECO2_micro_motorway","EC_gmh_motorway","cars_total","ECO2_gmh_total","ECO2_micro_total","EC_gmh_total"
"1",2020-01-01 00:00:00,72811.3,807.272070888958,5096.41458894544,18686.8534928,5475631.94242949,38536.2658838187,243284.50684229,892043.191755063,2984408.28180194,63032.2146241953,397930.647880021,1459079.04222674,5548443.24242949,102375.752578903,646311.569311256,2369809.08747461
"2",2020-01-01 01:00:00,119438.35,1296.01740477534,8181.92806045039,30000.4028883181,8925123.66811422,63040.9772322274,397985.967375173,1459281.88037563,2983536.51092061,63030.220515683,397918.05881113,1459032.88230748,9044562.01811422,127367.215152686,804085.954246753,2948315.16557143
"3",2020-01-01 02:00:00,116200.816666667,1264.38832941534,7982.24955438977,29268.2483660958,8679727.94360192,61481.3126524781,388139.600078776,1423178.53362218,2982664.74003928,63028.2264071707,397905.469742239,1458986.72238821,8795928.76026858,125773.927389064,794027.319375405,2911433.50437648
"4",2020-01-01 03:00:00,94070.9666666667,992.774781421206,6267.51755947731,22980.8977180835,6954835.0772267,49484.354805868,312401.229835025,1145471.17606176,2981792.96915796,63026.2322986584,397892.880673348,1458940.56246894,7048906.04389337,113503.361885948,716561.628067851,2627392.63624879
"5",2020-01-01 04:00:00,74793.1666666667,745.292549123178,4705.12972931299,17252.1423408143,5480694.95395033,38868.53982734,245382.195879672,899734.718225464,2980921.19827663,63024.2381901461,397880.291604457,1458894.40254968,5555488.120617,102638.070566609,647967.617213442,2375881.26311596
"6",2020-01-01 05:00:00,65748.6166666667,673.746534057921,4253.45034127475,15595.9845846741,4984942.10274396,35572.2706799619,224572.41590885,823432.191665784,2980049.4273953,63022.2440816338,397867.702535567,1458848.24263041,5050690.71941063,99268.2612956535,626693.568785692,2297876.41888087
"7",2020-01-01 06:00:00,54655.4333333333,561.314835781532,3543.65426629755,12993.3989764244,4323654.12975531,30986.6899912885,195623.042874296,717284.490539085,2979177.65651397,63020.2499731215,397855.113466676,1458802.08271114,4378309.56308864,94568.2548001915,597021.810607269,2189079.97222665
"8",2020-01-01 07:00:00,42658.15,425.578260381268,2686.73144180094,9851.34861993677,3686932.27219322,26540.9683537274,167556.618394743,614374.267447393,2978305.88563264,63018.2558646092,397842.524397785,1458755.92279188,3729590.42219322,89984.8024787178,568085.874234329,2082981.53885921
"9",2020-01-01 08:00:00,35735.75,369.33462464916,2331.65798389621,8549.41260761944,3477098.23756416,25076.1439061751,158308.989306661,580466.294124425,2977434.11475132,63016.2617560969,397829.935328894,1458709.76287261,3512833.98756416,88461.7402869212,558470.582619452,2047725.46960466
"10",2020-01-01 09:00:00,40807.15,431.026736248761,2721.12838540884,9977.47074649909,3802443.87543794,27346.8610505073,172644.324813809,633029.190983966,2976562.34386999,63014.2676475846,397817.346260003,1458663.60295335,3843251.02543794,90792.1554343406,573182.799459221,2101670.26468381
"11",2020-01-01 10:00:00,58152.2666666667,606.54200149232,3829.1793023505,14040.3241086185,6050549.29403806,43128.8706494091,272278.223796775,998353.48725484,2975690.57298866,63012.2735390722,397804.757191113,1458617.44303408,6108701.56070472,106747.686189974,673912.160290238,2471011.25439754
"12",2020-01-01 11:00:00,85467.0833333333,937.965401023111,5921.49874383277,21712.1620607202,8123238.73358271,58178.0508470917,367285.674539721,1346714.13997898,2974818.80210733,63010.2794305599,397792.168122222,1458571.28311481,8208705.81691604,122126.295678675,770999.341405775,2826997.58515451
"13",2020-01-01 12:00:00,110757.266666667,1172.82016481399,7404.16770715903,27148.6149262498,13274261.0680589,95100.0108214802,600378.856196214,2201389.13938612,2973947.031226,63008.2853220476,397779.579053331,1458525.12319555,13385018.3347255,159281.116308342,1005562.6029567,3687062.87750791
"14",2020-01-01 13:00:00,130008.466666667,1435.62153912652,9063.26729246541,33231.9800723732,14516539.0123741,103781.940723158,655189.019716908,2402359.738962,2973075.26034467,63006.2912135353,397766.98998444,1458478.96327628,14646547.4790408,168223.85347582,1062019.27699381,3894070.68231065
"15",2020-01-01 14:00:00,144039.516666667,1585.41144528046,10008.9106393969,36699.3390111218,15871895.1774291,113386.192475706,715821.922195116,2624680.38138209,2972203.48946335,63004.297105023,397754.400915549,1458432.80335701,16015934.6940958,177975.90102601,1123585.23375006,4119812.52375023
"16",2020-01-01 15:00:00,147891.816666667,1606.94062594845,10144.827184018,37197.6996747326,16431169.1804188,117364.208225757,740935.657990892,2716764.07929994,2971331.71858202,63002.3029965107,397741.811846659,1458386.64343775,16579060.9970855,181973.451848216,1148822.29702157,4212348.42241242
"17",2020-01-01 16:00:00,152052.816666667,1725.44364444357,10892.9523007801,39940.8251028603,17080988.078952,122380.062081795,772601.402031535,2832871.80744896,2970459.94770069,63000.3088879984,397729.222777768,1458340.48351848,17233040.8956187,187105.814614237,1181223.57711008,4331153.11607031
"18",2020-01-01 17:00:00,140558.85,1546.28376825305,9761.89247634498,35793.6057465983,15445762.7528005,110501.440740085,697610.105682352,2557903.72083529,2969588.17681936,62998.3147794861,397716.633708877,1458294.32359922,15586321.6028005,175046.039287824,1105088.63186757,4051991.65018111
"19",2020-01-01 18:00:00,127399.6,1445.24029203391,9123.99174263833,33454.6363896739,13673416.564244,97384.7807312014,614802.908656574,2254277.33174077,2968716.40593803,62996.3206709738,397704.044639986,1458248.16367995,13800816.164244,161826.341694209,1021630.9450392,3745980.1318104
"20",2020-01-01 19:00:00,113550.633333333,1275.05189586404,8049.57004964669,29515.0901820379,12009130.636201,85239.4457295179,538127.813948977,1973135.31781291,2967844.63505671,62994.3265624615,397691.455571095,1458202.00376068,12122681.2695343,149508.824187843,943868.839569719,3460852.41175564
"21",2020-01-01 20:00:00,94458.5666666667,1057.30253819548,6674.88976133512,24474.5957915621,8570442.57562445,60716.410480456,383310.672225101,1405472.46482537,2966972.86417538,62992.3324539492,397678.866502205,1458155.84384142,8664901.14229111,124766.045472601,787664.428488641,2888102.90445835
"22",2020-01-01 21:00:00,82867.7,937.30365397574,5917.32104782664,21696.843842031,6872778.74974362,48652.513839284,307149.708581338,1126215.59813157,2966101.09329405,62990.3383454369,397666.277433314,1458109.68392215,6955646.44974362,112580.155838697,710733.307062479,2606022.12589576
"23",2020-01-01 22:00:00,69830.6,754.805633572419,4765.18708063396,17472.3526289912,5904594.43077547,41740.0912240181,263510.676919306,966205.815370788,2965229.32241272,62988.3442369246,397653.688364423,1458063.52400288,5974425.03077547,105483.241094515,665929.552364363,2441741.69200266
"24",2020-01-01 23:00:00,56760.85,623.176666574839,3934.19612736641,14425.3858003435,4506284.51138393,31754.3787685747,200469.562932921,735055.064087377,2964357.55153139,62986.3501284123,397641.099295532,1458017.36408362,4563045.36138393,95363.9055635618,602044.858355819,2207497.81397134
